,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,B - Indústria Extrativa,435.48,43.54,946.69,47.33,-7.99,4.31,5.88
1,"Gás natural, liquefeito ou não",149.77,14.97,173.53,8.67,72.62,1.48,1.07
2,Carvão,138.86,13.88,207.14,10.35,34.07,1.37,1.28
3,Óleos brutos de petróleo,83.47,8.34,424.16,21.2,-60.64,0.82,2.63
4,Outros minérios,33.72,3.37,53.62,2.68,25.8,0.33,0.33
5,Outros minerais em bruto,12.01,1.2,23.14,1.15,3.81,0.11,0.14
6,Demais produtos,17.62,1.76,65.08,3.25,-45.83,0.17,0.4
