,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,B - Indústria Extrativa,3753.55,375.35,6673.47,333.67,12.49,24.11,25.6
1,Óleos brutos de petróleo,2384.52,238.45,2826.7,141.33,68.71,15.32,10.84
2,Minério de ferro e seus concentrados,1170.41,117.04,3436.62,171.83,-31.88,7.51,13.18
3,Minérios de cobre e seus concentrados,109.22,10.92,294.12,14.7,-25.73,0.7,1.12
4,Minérios de níquel e seus concentrados,40.98,4.09,21.05,1.05,289.29,0.26,0.08
5,Outros minerais em bruto,26.89,2.68,43.26,2.16,24.32,0.17,0.16
6,Demais produtos,21.5,2.15,51.7,2.58,-16.81,0.13,0.19
